project_id,project_type,region,date,section,ref,description,unit,quantity,rate,category,amount
P001-LV,LV Reinforcement,Ulster,2024-01-22,Cabling & Terminations,,"Earthing installation including rods, tape and connections",item,1.0,1700.28,Cabling & Terminations,1700.28
P001-LV,LV Reinforcement,Ulster,2024-01-22,Excavation & Earthworks,,Trench support to deep excavation using proprietary shoring,m,20.9,35.65,Excavation & Earthworks,745.08
P001-LV,LV Reinforcement,Ulster,2024-01-22,Road Reinstatement & Surfacing,,Supply and lay precast concrete kerbing c/w haunching (as drawing),m,161.41,43.45,Road Reinstatement & Surfacing,7013.26
P001-LV,LV Reinforcement,Ulster,2024-01-22,Ducting & Cable Protection,,Supply and lay 6no. 110mm HDPE duct in prepared trench c/w bedding,m,426.59,44.38,Ducting & Cable Protection,18932.06
P001-LV,LV Reinforcement,Ulster,2024-01-22,Plant & Equipment Supply,,Supply and erect 6m public lighting column with LED lantern (as drawing),nr,19.0,1023.07,Plant & Equipment Supply,19438.33
P001-LV,LV Reinforcement,Ulster,2024-01-22,Excavation & Earthworks,,Trench support to deep excavation using proprietary shoring,m,75.06,54.91,Excavation & Earthworks,4121.54
P001-LV,LV Reinforcement,Ulster,2024-01-22,Cabling & Terminations,,"Earthing installation including rods, tape and connections",item,1.0,1099.73,Cabling & Terminations,1099.73
P001-LV,LV Reinforcement,Ulster,2024-01-22,Ducting & Cable Protection,,S&L cable protection tiles and marker tape,m,908.62,4.22,Ducting & Cable Protection,3834.38
P001-LV,LV Reinforcement,Ulster,2024-01-22,Road Reinstatement & Surfacing,,Permanent reinstatement of footpath in bitmac to road opening licence standard,m2,112.36,48.87,Road Reinstatement & Surfacing,5491.03
P001-LV,LV Reinforcement,Ulster,2024-01-22,Ducting & Cable Protection,,Supply & lay cable protection tiles and marker tape,m,892.13,1.99,Ducting & Cable Protection,1775.34
P001-LV,LV Reinforcement,Ulster,2024-01-22,Road Reinstatement & Surfacing,,Planing of existing bituminous surfacing 40mm,m2,782.09,6.29,Road Reinstatement & Surfacing,4919.35
P001-LV,LV Reinforcement,Ulster,2024-01-22,Road Reinstatement & Surfacing,,SUPPLY AND LAY 40mm SMA surface course,m2,433.1,20.38,Road Reinstatement & Surfacing,8826.58
P001-LV,LV Reinforcement,Ulster,2024-01-22,Road Reinstatement & Surfacing,,Planing of existing bituminous surfacing 40mm,m2,1201.13,7.51,Road Reinstatement & Surfacing,9020.49
P001-LV,LV Reinforcement,Ulster,2024-01-22,Preliminaries & Site Setup,,Mobilisation and demobilisation of plant to site,item,1.0,3452.45,Preliminaries & Site Setup,3452.45
P001-LV,LV Reinforcement,Ulster,2024-01-22,Excavation & Earthworks,,DISPOSAL OF SURPLUS EXCAVATED MATERIAL OFF SITE TO LICENSED FACILITY,m3,39.9,33.2,Excavation & Earthworks,1324.68
P001-LV,LV Reinforcement,Ulster,2024-01-22,Ducting & Cable Protection,,Supply and lay 4no. 110mm HDPE duct in prepared trench incl. bedding,m,318.92,37.39,Ducting & Cable Protection,11924.42
P001-LV,LV Reinforcement,Ulster,2024-01-22,Preliminaries & Site Setup,,Mobilisation and demobilisation of plant to site,item,1.0,3010.36,Preliminaries & Site Setup,3010.36
P001-LV,LV Reinforcement,Ulster,2024-01-22,Traffic Management,,Preparation and approval of traffic management plan (Chapter 8),item,1.0,621.46,Traffic Management,621.46
P001-LV,LV Reinforcement,Ulster,2024-01-22,Traffic Management,,Provision of traffic management for footpath closure and pedestrian diversion,week,10.0,469.08,Traffic Management,4690.8
P001-LV,LV Reinforcement,Ulster,2024-01-22,Cabling & Terminations,,Terminate MV cable into switchgear inc. testing,nr,5.0,595.07,Cabling & Terminations,2975.35
P001-LV,LV Reinforcement,Ulster,2024-01-22,Ducting & Cable Protection,,Horizontal directional drill 125mm bore c/w entry and exit pits,m,21.42,225.23,Ducting & Cable Protection,4824.43
P001-LV,LV Reinforcement,Ulster,2024-01-22,Ducting & Cable Protection,,HORIZONTAL DIRECTIONAL DRILL 250MM BORE INCLUDING ENTRY AND EXIT PITS,m,41.31,439.84,Ducting & Cable Protection,18169.79
P001-LV,LV Reinforcement,Ulster,2024-01-22,Excavation & Earthworks,,Trench support to deep excavation using proprietary shoring,m,42.33,38.93,Excavation & Earthworks,1647.91
P001-LV,LV Reinforcement,Ulster,2024-01-22,Excavation & Earthworks,,Supply and place imported granular fill Clause 804 (as drawing),m3,724.65,34.05,Excavation & Earthworks,24674.33
P001-LV,LV Reinforcement,Ulster,2024-01-22,Traffic Management,,PREPARATION AND APPROVAL OF TRAFFIC MANAGEMENT PLAN (CHAPTER 8),item,1.0,403.4,Traffic Management,403.4
